URLS,"Tuesday, 2021-11-30 17:40:01","Tuesday, 2021-11-30 17:45:22"
https://www.amazon.in/Sony-Onebox-MHC-V90DW-Lighting-Effects/dp/B074TJF15X,Not Available,Not Available
https://www.amazon.in/TCL-inches-Certified-Android-50P615/dp/B08FD3HN12,Not Available,0
https://www.amazon.in/TCL-inches-Certified-Android-55P615/dp/B08FD3269H,"₹40,990.00",0
https://www.amazon.in/Sony-Bravia-inches-KD-65X80J-Compatibility/dp/B091N3MQ92,Not Available,0
https://www.amazon.in/Sony-Bravia-inches-KD-75X80J-Compatibility/dp/B095MG6V5Z,"₹1,89,391.00","₹1,89,391.00"
https://www.amazon.in/Sony-Bravia-inches-XR-55X90J-Compatibility/dp/B0943RMM18,Not Available,Not Available
https://www.amazon.in/TCL-inches-Certified-Android-43P615/dp/B08FD2VSD9,"₹29,490.00","₹29,490.00"
https://www.amazon.in/LG-inches-NanoCell-55NANO80TNA-Ceramic/dp/B08HC57BRD,"₹79,499.00","₹79,499.00"
https://www.amazon.in/Vivo-Y33s-Storage-Additional-Exchange/dp/B08ZJR6BMV,Not Available,0
https://www.amazon.in/Sony-SRS-XB13-Bluetooth-Waterproof-Dustproof/dp/B08ZJ6DQNY,"₹3,832.00",0
https://www.amazon.in/Wahl-5439-024-Super-Professional-Styling/dp/B00F1FR4AS,Not Available,0
https://www.amazon.in/Apple-AirPods-with-Charging-Case/dp/B07Q6153FQ,Not Available,0
https://www.amazon.in/LG-Inches-Ready-32LM560BPTC-Display/dp/B07TMFQMJC,"₹21,990.00",0
https://www.amazon.in/Sansui-inch-Smart-Android-JSW43ASFHD/dp/B09KNKRCNH,Not Available,0
https://www.amazon.in/Apple-MacBook-Chip-13-inch-512GB/dp/B08N5Y1YG7,"₹1,37,990.00",0
https://www.amazon.in/Realme-Supersonic-Blue-128GB-Storage/dp/B093P9HMZJ,Not Available,0
https://www.amazon.in/Apple-MWP22HN-A-AirPods-Pro/dp/B07ZRXF7M8,"₹20,900.00","₹20,900.00"
https://www.amazon.in/LG-Inches-Ready-32LK536BPTB-Black/dp/B07DW9GXR5,Not Available,Not Available
https://www.amazon.in/Sony-Bravia-inches-Ready-32W6100/dp/B084T8MD6P,"₹27,289.00",0
https://www.amazon.in/Apple-MacBook-Chip-13-inch-512GB/dp/B08N6DXX1V,"₹1,09,490.00",0
https://www.amazon.in/Apple-MacBook-Chip-13-inch-512GB/dp/B08N5WRWNW,"₹1,31,900.00",0
https://www.amazon.in/Vivo-Y21-Midnight-Storage-Without/dp/B08ZJS2DYK,"₹13,245.00",0
https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5XSG8Z,"₹85,900.00",0
https://www.amazon.in/Godrej-WSEDGE-8-0-TB3-LVDR/dp/B083WNGQXC,Not Available,0
https://www.amazon.in/Panasonic-Frost-Free-Side-Refrigerator-NR-BS60MHX1/dp/B07VXP2H12,Not Available,0
https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-1902BBR-Burgundy/dp/B08X2S5KLB,Not Available,Not Available
